Ref,Val,Package,PosX,PosY,Rot,Side
"D1419","green","LED_0805_2012Metric",161.250000,-216.000000,0.000000,top
"D1420","green","LED_0805_2012Metric",165.750000,-216.000000,0.000000,top
"D1421","green","LED_0805_2012Metric",165.750000,-206.000000,0.000000,top
"D1422","green","LED_0805_2012Metric",161.250000,-206.000000,0.000000,top
"D1423","green","LED_0805_2012Metric",156.750000,-206.000000,0.000000,top
"D1424","green","LED_0805_2012Metric",152.250000,-206.000000,0.000000,top
"D1425","green","LED_0805_2012Metric",170.250000,-216.000000,0.000000,top
"D1426","green","LED_0805_2012Metric",174.750000,-216.000000,0.000000,top
"D1427","green","LED_0805_2012Metric",179.250000,-216.000000,0.000000,top
"D1428","green","LED_0805_2012Metric",183.750000,-216.000000,0.000000,top
"D1429","green","LED_0805_2012Metric",183.750000,-206.000000,0.000000,top
"D1430","green","LED_0805_2012Metric",179.250000,-206.000000,0.000000,top
"D1431","green","LED_0805_2012Metric",174.750000,-206.000000,0.000000,top
"D1432","green","LED_0805_2012Metric",170.312500,-206.000000,0.000000,top
"L1","600R/100M","L_0805_2012Metric",109.250000,-207.250000,0.000000,top
"R1","470R","R_0603_1608Metric",379.750000,-192.250000,0.000000,top
"R2","470R","R_0603_1608Metric",212.425000,-205.750000,180.000000,top
"R3","100k","R_0603_1608Metric",188.500000,-205.500000,270.000000,top
"R4","100k","R_0603_1608Metric",186.750000,-205.500000,270.000000,top
"R5","100k","R_0603_1608Metric",190.250000,-205.500000,270.000000,top
"R6","100k","R_0603_1608Metric",191.500000,-189.250000,0.000000,top
"R7","100k","R_0603_1608Metric",226.000000,-206.000000,90.000000,top
"R101","470R","R_0603_1608Metric",123.647500,-188.007500,180.000000,top
"R102","470R","R_0603_1608Metric",136.347500,-188.007500,180.000000,top
"R103","470R","R_0603_1608Metric",149.047500,-188.007500,180.000000,top
"R104","470R","R_0603_1608Metric",161.747500,-188.007500,180.000000,top
"R105","470R","R_0603_1608Metric",174.447500,-188.007500,180.000000,top
"R106","470R","R_0603_1608Metric",187.147500,-188.007500,180.000000,top
"R201","470R","R_0603_1608Metric",231.500000,-202.500000,90.000000,top
"R202","1k","R_0603_1608Metric",226.500000,-212.500000,90.000000,top
"R203","10k","R_0603_1608Metric",227.750000,-206.000000,270.000000,top
"R301","470R","R_0603_1608Metric",256.500000,-202.500000,90.000000,top
"R302","1k","R_0603_1608Metric",251.500000,-212.500000,90.000000,top
"R303","10k","R_0603_1608Metric",251.500000,-206.000000,270.000000,top
"R401","470R","R_0603_1608Metric",281.500000,-202.500000,90.000000,top
"R402","1k","R_0603_1608Metric",276.500000,-212.500000,90.000000,top
"R403","10k","R_0603_1608Metric",276.500000,-206.000000,270.000000,top
"R501","470R","R_0603_1608Metric",306.500000,-202.500000,90.000000,top
"R502","1k","R_0603_1608Metric",301.500000,-212.500000,90.000000,top
"R503","10k","R_0603_1608Metric",301.500000,-206.000000,270.000000,top
"R601","470R","R_0603_1608Metric",331.500000,-202.500000,90.000000,top
"R602","1k","R_0603_1608Metric",326.500000,-212.500000,90.000000,top
"R603","10k","R_0603_1608Metric",326.500000,-206.000000,270.000000,top
"R701","470R","R_0603_1608Metric",356.500000,-202.500000,90.000000,top
"R702","1k","R_0603_1608Metric",351.500000,-212.500000,90.000000,top
"R703","10k","R_0603_1608Metric",351.500000,-206.000000,270.000000,top
"R801","470R","R_0603_1608Metric",391.500000,-202.500000,90.000000,top
"R802","1k","R_0603_1608Metric",386.500000,-212.500000,90.000000,top
"R803","10k","R_0603_1608Metric",386.500000,-206.000000,270.000000,top
"R901","470R","R_0603_1608Metric",416.500000,-202.500000,90.000000,top
"R902","1k","R_0603_1608Metric",411.500000,-212.500000,90.000000,top
"R903","10k","R_0603_1608Metric",411.500000,-206.000000,270.000000,top
"R1001","470R","R_0603_1608Metric",441.500000,-202.500000,90.000000,top
"R1002","1k","R_0603_1608Metric",436.500000,-212.500000,90.000000,top
"R1003","10k","R_0603_1608Metric",436.500000,-206.000000,270.000000,top
"R1101","470R","R_0603_1608Metric",466.500000,-202.500000,90.000000,top
"R1102","1k","R_0603_1608Metric",461.500000,-212.500000,90.000000,top
"R1103","10k","R_0603_1608Metric",461.500000,-206.000000,270.000000,top
"R1201","470R","R_0603_1608Metric",491.500000,-202.500000,90.000000,top
"R1202","1k","R_0603_1608Metric",486.500000,-212.500000,90.000000,top
"R1203","10k","R_0603_1608Metric",486.500000,-206.000000,270.000000,top
"R1301","1k","R_0603_1608Metric",109.000000,-184.000000,0.000000,top
"R1302","1k","R_0603_1608Metric",109.000000,-215.500000,0.000000,top
"R1303","1k","R_0603_1608Metric",194.250000,-202.250000,90.000000,top
"R1304","1k","R_0603_1608Metric",191.500000,-184.000000,180.000000,top
"R1311","10k","R_0603_1608Metric",109.000000,-187.500000,180.000000,top
"R1312","10k","R_0603_1608Metric",109.000000,-212.000000,180.000000,top
"R1313","10k","R_0603_1608Metric",190.750000,-202.250000,270.000000,top
"R1314","10k","R_0603_1608Metric",191.500000,-187.500000,0.000000,top
"R1315","10k","R_0603_1608Metric",196.500000,-200.500000,90.000000,top
"R1316","10k","R_0603_1608Metric",203.500000,-200.500000,90.000000,top
"R1317","1k","R_0603_1608Metric",200.000000,-200.500000,270.000000,top
"R1401","470R","R_0603_1608Metric",113.250000,-212.500000,270.000000,top
"R1402","470R","R_0603_1608Metric",131.250000,-212.500000,270.000000,top
"R1403","470R","R_0603_1608Metric",149.250000,-212.575000,270.000000,top
"R1404","470R","R_0603_1608Metric",167.250000,-212.500000,270.000000,top
"U1","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",187.500000,-211.000000,90.000000,top
"U2","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",210.250000,-200.000000,0.000000,top
"U3","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",379.750000,-204.750000,90.000000,top
"U4","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",379.750000,-197.000000,90.000000,top
"U5","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",210.750000,-212.000000,0.000000,top
"U6","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",210.750000,-188.000000,180.000000,top
"U7","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",219.750000,-203.500000,90.000000,top
"U8","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",219.750000,-195.500000,270.000000,top
"U101","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",118.250000,-190.865000,0.000000,top
"U102","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",130.950000,-190.865000,0.000000,top
"U103","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",143.650000,-190.865000,0.000000,top
"U104","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",156.350000,-190.865000,0.000000,top
"U105","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",169.050000,-190.865000,0.000000,top
