Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D205,green,LED_0805_2012Metric,246.000000,-202.250000,0.000000,top
D206,green,LED_0805_2012Metric,246.000000,-206.750000,0.000000,top
D207,green,LED_0805_2012Metric,246.000000,-211.250000,0.000000,top
D208,green,LED_0805_2012Metric,246.000000,-215.750000,0.000000,top
D301,red,LED_0805_2012Metric,271.000000,-184.250000,0.000000,top
D302,red,LED_0805_2012Metric,271.000000,-188.750000,0.000000,top
D303,yellow,LED_0805_2012Metric,271.000000,-193.250000,0.000000,top
D304,yellow,LED_0805_2012Metric,271.000000,-197.750000,0.000000,top
D305,green,LED_0805_2012Metric,271.000000,-202.250000,0.000000,top
D306,green,LED_0805_2012Metric,271.000000,-206.750000,0.000000,top
D307,green,LED_0805_2012Metric,271.000000,-211.250000,0.000000,top
D308,green,LED_0805_2012Metric,271.000000,-215.750000,0.000000,top
D401,red,LED_0805_2012Metric,296.000000,-184.250000,0.000000,top
D402,red,LED_0805_2012Metric,296.000000,-188.750000,0.000000,top
D403,yellow,LED_0805_2012Metric,296.000000,-193.250000,0.000000,top
D404,yellow,LED_0805_2012Metric,296.000000,-197.750000,0.000000,top
D405,green,LED_0805_2012Metric,296.000000,-202.250000,0.000000,top
D406,green,LED_0805_2012Metric,296.000000,-206.750000,0.000000,top
D407,green,LED_0805_2012Metric,296.000000,-211.250000,0.000000,top
D408,green,LED_0805_2012Metric,296.000000,-215.750000,0.000000,top
D501,red,LED_0805_2012Metric,321.000000,-184.250000,0.000000,top
D502,red,LED_0805_2012Metric,321.000000,-188.750000,0.000000,top
D503,yellow,LED_0805_2012Metric,321.000000,-193.250000,0.000000,top
D504,yellow,LED_0805_2012Metric,321.000000,-197.750000,0.000000,top
D505,green,LED_0805_2012Metric,321.000000,-202.250000,0.000000,top
D506,green,LED_0805_2012Metric,321.000000,-206.750000,0.000000,top
D507,green,LED_0805_2012Metric,321.000000,-211.250000,0.000000,top
D508,green,LED_0805_2012Metric,321.000000,-215.750000,0.000000,top
D601,red,LED_0805_2012Metric,346.000000,-184.250000,0.000000,top
D602,red,LED_0805_2012Metric,346.000000,-188.750000,0.000000,top
D603,yellow,LED_0805_2012Metric,346.000000,-193.250000,0.000000,top
D604,yellow,LED_0805_2012Metric,346.000000,-197.750000,0.000000,top
D605,green,LED_0805_2012Metric,346.000000,-202.250000,0.000000,top
D606,green,LED_0805_2012Metric,346.000000,-206.750000,0.000000,top
D607,green,LED_0805_2012Metric,346.000000,-211.250000,0.000000,top
D608,green,LED_0805_2012Metric,346.000000,-215.750000,0.000000,top
D701,red,LED_0805_2012Metric,371.000000,-184.250000,0.000000,top
D702,red,LED_0805_2012Metric,371.000000,-188.750000,0.000000,top
D703,yellow,LED_0805_2012Metric,371.000000,-193.250000,0.000000,top
D704,yellow,LED_0805_2012Metric,371.000000,-197.750000,0.000000,top
D705,green,LED_0805_2012Metric,371.000000,-202.250000,0.000000,top
